"","year","Coverage","variable","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker","N","Ntotal"
"1",1800,0.00202020202020202,"BvB",19.6518128478164,9.04296107959084,42.7065587042288,94.2215627732269,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1,495
"2",1801,0.00202020202020202,"BvB",19.5831283867996,9.04997202157956,42.375701991059,94.2215627717938,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1,495
"3",1802,0.00202020202020202,"BvB",19.509174590466,9.05385660475271,42.0382064590562,94.221562771792,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1,495
"4",1803,0.00202020202020202,"BvB",19.429988766285,9.05463748694735,41.6940450683065,94.2215627717861,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1.97959183810584,1,495
"5",1804,0.00202020202020202,"BvB",19.3446722842993,9.05198697511162,41.3407958734189,94.1244761838076,1.97755102177789,1.97755102177789,1.97755102177789,1.97755102177789,1.97755102177789,1,495
"6",1805,0.00202020202020202,"BvB",19.2542207224694,9.04628705649932,40.980903360039,94.0273895958203,1.97551020544995,1.97551020544995,1.97551020544995,1.97551020544995,1.97551020544995,1,495
"7",1806,0.00202020202020202,"BvB",19.1586866034098,9.03756888450816,40.6143817057779,93.9303030078405,1.97346938912201,1.97346938912201,1.97346938912201,1.97346938912201,1.97346938912201,1,495
"8",1807,0.00202020202020202,"BvB",19.0571965131899,9.02551337956097,40.2389009543526,93.736129831869,1.96938775646612,1.96938775646612,1.96938775646612,1.96938775646612,1.96938775646612,1,495
"9",1808,0.00202020202020202,"BvB",18.950750483398,9.0105100612585,39.8568939430104,93.5419566559002,1.96530612381023,1.96530612381023,1.96530612381023,1.96530612381023,1.96530612381023,1,495
"10",1809,0.00202020202020202,"BvB",18.8384930565514,8.99224570873652,39.4660946927797,93.2506968919559,1.9591836748264,1.9591836748264,1.9591836748264,1.9591836748264,1.9591836748264,1,495
"11",1810,0.00202020202020202,"BvB",18.7214294343771,8.9711153717878,39.0689346353277,92.9594371279936,1.95306122584256,1.95306122584256,1.95306122584256,1.95306122584256,1.95306122584256,1,495
"12",1811,0.00202020202020202,"BvB",18.599638551067,8.94716351789296,38.6655003609242,92.6681773640478,1.94693877685873,1.94693877685873,1.94693877685873,1.94693877685873,1.94693877685873,1,495
"13",1812,0.00202020202020202,"BvB",18.4732016214428,8.9204359750353,38.2558855981393,92.3769176000915,1.9408163278749,1.9408163278749,1.9408163278749,1.9408163278749,1.9408163278749,1,495
"14",1813,0.00202020202020202,"BvB",18.3412914274158,8.89062764500737,37.8379327824292,91.9885712481594,1.93265306256312,1.93265306256312,1.93265306256312,1.93265306256312,1.93265306256312,1,495
"15",1814,0.00202020202020202,"BvB",18.2049171399605,8.8581415918818,37.4140562820267,91.6002248962233,1.92448979725135,1.92448979725135,1.92448979725135,1.92448979725135,1.92448979725135,1,495
"16",1815,0.00202020202020202,"BvB",18.0641732131281,8.82302982337372,36.9843874957139,91.2118785442943,1.91632653193957,1.91632653193957,1.91632653193957,1.91632653193957,1.91632653193957,1,495
"17",1816,0.00202020202020202,"BvB",17.9191560620771,8.78534537992294,36.5490643897591,90.8235321923631,1.90816326662779,1.90816326662779,1.90816326662779,1.90816326662779,1.90816326662779,1,495
"18",1817,0.00202020202020202,"BvB",17.7699640092479,8.74514226143334,36.1082314558266,90.4351858404274,1.90000000131602,1.90000000131602,1.90000000131602,1.90000000131602,1.90000000131602,1,495
"19",1818,0.00202020202020202,"BvB",17.6166972306032,8.70247535650411,35.6620396612548,90.0468394884949,1.89183673600424,1.89183673600424,1.89183673600424,1.89183673600424,1.89183673600424,1,495
"20",1819,0.00202020202020202,"BvB",17.4585673766129,8.65704868760861,35.2084856909739,89.5614065485721,1.88163265436452,1.88163265436452,1.88163265436452,1.88163265436452,1.88163265436452,1,495
"21",1820,0.00202020202020202,"BvB",17.2974690914326,8.60962483513,34.7520876575509,89.1730601966453,1.87346938905274,1.87346938905274,1.87346938905274,1.87346938905274,1.87346938905274,1,495
"22",1821,0.00202020202020202,"BvB",17.1317309169631,8.55955778278917,34.2887111296062,88.6876272567242,1.86326530741302,1.86326530741302,1.86326530741302,1.86326530741302,1.86326530741302,1,495
"23",1822,0.00202020202020202,"BvB",16.9632349522805,8.50761036366032,33.8228160136928,88.2992809047946,1.85510204210124,1.85510204210124,1.85510204210124,1.85510204210124,1.85510204210124,1,495
"24",1823,0.00202020202020202,"BvB",16.7903293747178,8.45313906419578,33.3503516706114,87.813847964876,1.84489796046152,1.84489796046152,1.84489796046152,1.84489796046152,1.84489796046152,1,495
"25",1824,0.00202020202020202,"BvB",16.6140127375733,8.39655628701377,32.8736460292837,87.3284150249634,1.8346938788218,1.8346938788218,1.8346938788218,1.8346938788218,1.8346938788218,1,495
"26",1825,0.00202020202020202,"BvB",16.4352669106442,8.33827309568608,32.3949570042105,86.9400686730267,1.82653061351003,1.82653061351003,1.82653061351003,1.82653061351003,1.82653061351003,1,495
"27",1826,0.00202020202020202,"BvB",16.2524714801648,8.27765006598505,31.9103643072566,86.454635733114,1.81632653187031,1.81632653187031,1.81632653187031,1.81632653187031,1.81632653187031,1,495
"28",1827,0.00202020202020202,"BvB",16.066615389052,8.21509940481343,31.4221553921155,85.9692027931969,1.80612245023058,1.80612245023058,1.80612245023058,1.80612245023058,1.80612245023058,1,495
"29",1828,0.00202020202020202,"BvB",15.877819733004,8.15068376632089,30.9305533991499,85.4837698532816,1.79591836859086,1.79591836859086,1.79591836859086,1.79591836859086,1.79591836859086,1,495
"30",1829,0.00202020202020202,"BvB",15.6853628206385,8.08411919441809,30.4338173273035,84.9012503253803,1.7836734706232,1.7836734706232,1.7836734706232,1.7836734706232,1.7836734706232,1,495
"31",1830,0.00202020202020202,"BvB",15.4910664565553,8.01616536490403,29.9361513937888,84.4158173854643,1.77346938898348,1.77346938898348,1.77346938898348,1.77346938898348,1.77346938898348,1,495
"32",1831,0.00202020202020202,"BvB",15.2942050904926,7.94653778371508,29.4358015674962,83.9303844455432,1.76326530734376,1.76326530734376,1.76326530734376,1.76326530734376,1.76326530734376,1,495
"33",1832,0.00202020202020202,"BvB",15.0949031853281,7.87529955320337,28.9330076443562,83.4449515056238,1.75306122570404,1.75306122570404,1.75306122570404,1.75306122570404,1.75306122570404,1,495
"34",1833,0.00202020202020202,"BvB",14.8924650850044,7.80217020288497,28.4261315173649,82.8624319777251,1.74081632773637,1.74081632773637,1.74081632773637,1.74081632773637,1.74081632773637,1,495
"35",1834,0.00202020202020202,"BvB",14.6886701284974,7.72790327111088,27.9192198161142,82.3769990378047,1.73061224609665,1.73061224609665,1.73061224609665,1.73061224609665,1.73061224609665,1,495
"36",1835,0.00202020202020202,"BvB",14.4820087749066,7.65187533623283,27.408781369369,81.7944795099045,1.71836734812899,1.71836734812899,1.71836734812899,1.71836734812899,1.71836734812899,1,495
"37",1836,0.00202020202020202,"BvB",14.2742371019538,7.57483623121091,26.8987788809557,81.3090465699674,1.70816326648926,1.70816326648926,1.70816326648926,1.70816326648926,1.70816326648926,1,495
"38",1837,0.00202020202020202,"BvB",14.0638710509188,7.49616589698912,26.38581798414,80.7265270420719,1.6959183685216,1.6959183685216,1.6959183685216,1.6959183685216,1.6959183685216,1,495
"39",1838,0.00202020202020202,"BvB",13.8518522421735,7.41627095108637,25.8720065386635,80.1440075141725,1.68367347055393,1.68367347055393,1.68367347055393,1.68367347055393,1.68367347055393,1,495
"40",1839,0.00202020202020202,"BvB",13.6390965436701,7.33555388110026,25.3593603895185,79.6585745742524,1.67346938891421,1.67346938891421,1.67346938891421,1.67346938891421,1.67346938891421,1,495
"41",1840,0.00202020202020202,"BvB",13.4241593124967,7.25339980602671,24.8446325952641,79.0760550463515,1.66122449094655,1.66122449094655,1.66122449094655,1.66122449094655,1.66122449094655,1,495
"42",1841,0.00202020202020202,"BvB",13.2079628517436,7.17021152637369,24.3298655906275,78.4935355184497,1.64897959297888,1.64897959297888,1.64897959297888,1.64897959297888,1.64897959297888,1,495
"43",1842,0.00202020202020202,"BvB",12.990639857412,7.08605256318047,23.8153361692305,77.9110159905524,1.63673469501122,1.63673469501122,1.63673469501122,1.63673469501122,1.63673469501122,1,495
"44",1843,0.00202020202020202,"BvB",12.7723226864303,7.00098601918061,23.3013216080375,77.3284964626587,1.62448979704355,1.62448979704355,1.62448979704355,1.62448979704355,1.62448979704355,1,495
"45",1844,0.00202020202020202,"BvB",12.5523953701451,6.91474198776324,22.786479930455,76.6488903467697,1.61020408274795,1.61020408274795,1.61020408274795,1.61020408274795,1.61020408274795,1,495
"46",1845,0.00202020202020202,"BvB",12.3324975210782,6.82805114126258,22.2743637914929,76.0663708188722,1.59795918478028,1.59795918478028,1.59795918478028,1.59795918478028,1.59795918478028,1,495
